Shipping_Row_ID,Ship Date,Ship_Mode
1,11-11-2017,Second Class
3,16-06-2017,Second Class
4,18-10-2016,Standard Class
6,14-06-2015,Standard Class
13,20-04-2018,Standard Class
14,10-12-2017,Standard Class
15,26-11-2016,Standard Class
17,18-11-2015,Standard Class
18,15-05-2015,Second Class
19,01-09-2015,Second Class
22,13-12-2017,Standard Class
24,18-07-2018,Second Class
25,30-09-2016,Standard Class
26,20-01-2017,Second Class
28,21-09-2016,Standard Class
35,23-10-2018,Second Class
36,10-12-2017,First Class
38,31-12-2016,Standard Class
42,15-09-2018,Standard Class
43,22-07-2017,Standard Class
44,23-09-2018,Standard Class
45,13-03-2017,First Class
47,25-10-2015,Second Class
48,25-06-2017,Standard Class
50,22-04-2016,Standard Class
54,17-12-2017,Standard Class
56,18-06-2017,First Class
63,30-11-2016,Standard Class
67,05-05-2016,Standard Class
68,10-12-2015,Standard Class
70,06-06-2017,First Class
71,23-09-2017,Standard Class
72,17-09-2018,Second Class
73,02-05-2016,Standard Class
76,11-12-2018,First Class
79,01-12-2015,Second Class
80,15-06-2017,First Class
82,16-10-2015,Standard Class
84,08-09-2016,Standard Class
85,16-11-2018,First Class
86,30-05-2018,Second Class
87,02-11-2018,Standard Class
89,10-04-2017,Second Class
90,22-09-2017,Standard Class
93,05-02-2016,Second Class
96,12-11-2018,Standard Class
97,11-11-2018,Second Class
98,20-06-2018,First Class
99,11-09-2017,Standard Class
100,02-09-2017,Standard Class
103,04-12-2017,Second Class
104,17-11-2016,Standard Class
107,28-11-2018,Standard Class
110,20-10-2016,Standard Class
111,30-12-2018,Standard Class
112,10-11-2017,Standard Class
114,27-08-2015,Second Class
118,06-03-2016,Standard Class
119,10-04-2016,Standard Class
120,15-06-2017,First Class
125,28-12-2015,Second Class
126,25-09-2015,Standard Class
127,12-11-2018,Standard Class
129,10-11-2017,Second Class
131,05-02-2018,First Class
134,19-10-2017,Standard Class
141,07-09-2017,Second Class
142,23-09-2018,Standard Class
145,27-12-2018,Standard Class
146,12-09-2016,Standard Class
147,28-10-2015,Standard Class
148,09-12-2017,Standard Class
152,16-03-2017,First Class
154,02-06-2016,First Class
157,03-06-2016,Standard Class
158,06-03-2015,Second Class
159,24-11-2017,Standard Class
161,12-05-2017,First Class
162,31-12-2016,Second Class
163,20-11-2017,Standard Class
164,11-11-2017,Standard Class
165,12-09-2015,Standard Class
172,09-08-2015,Standard Class
175,19-09-2015,Standard Class
177,25-04-2018,Second Class
178,23-11-2016,Second Class
180,19-12-2016,Standard Class
181,09-12-2015,Second Class
183,24-11-2015,Second Class
186,02-12-2017,Standard Class
187,30-08-2015,Standard Class
188,22-07-2017,Standard Class
190,14-10-2016,First Class
195,06-11-2016,Standard Class
196,25-03-2015,Standard Class
198,13-11-2018,Standard Class
199,13-07-2018,Standard Class
201,29-06-2018,Standard Class
202,05-08-2015,First Class
204,21-12-2018,Second Class
205,07-06-2018,Standard Class
206,14-12-2018,Standard Class
207,07-12-2018,Standard Class
212,13-02-2016,Second Class
213,09-01-2016,Standard Class
218,01-11-2017,Standard Class
220,27-12-2016,First Class
226,16-08-2016,Standard Class
229,04-03-2016,Standard Class
231,17-09-2015,Standard Class
232,12-04-2018,Standard Class
237,16-11-2018,Standard Class
238,09-06-2017,Second Class
245,06-06-2015,Second Class
250,15-12-2017,Second Class
251,17-09-2017,Standard Class
253,13-12-2017,First Class
255,04-12-2016,Standard Class
259,03-12-2018,Second Class
262,12-06-2018,Standard Class
263,21-09-2015,Second Class
265,13-06-2017,Standard Class
266,15-11-2016,Standard Class
267,20-06-2018,Standard Class
268,28-01-2017,Standard Class
269,13-12-2018,Standard Class
271,02-01-2019,Second Class
272,31-07-2016,First Class
275,17-09-2018,First Class
277,17-10-2018,Standard Class
281,28-09-2016,Second Class
283,06-11-2016,Standard Class
284,02-10-2016,Standard Class
287,20-12-2017,Second Class
290,24-11-2017,Second Class
294,28-12-2015,First Class
299,03-11-2017,Standard Class
304,23-11-2018,Standard Class
305,09-05-2016,Second Class
306,04-01-2016,Standard Class
307,06-06-2015,Standard Class
309,17-04-2018,First Class
310,14-09-2017,Second Class
314,03-10-2015,Standard Class
315,16-08-2015,Standard Class
317,30-12-2015,First Class
318,09-11-2015,Standard Class
323,24-09-2015,Standard Class
324,27-04-2017,Standard Class
326,05-11-2018,Second Class
327,01-09-2017,First Class
332,29-04-2017,Second Class
335,04-09-2016,Second Class
338,17-07-2015,Standard Class
340,26-06-2016,Second Class
341,17-04-2015,Second Class
345,24-12-2016,Standard Class
346,19-06-2018,Standard Class
347,12-07-2018,Standard Class
350,03-09-2017,First Class
355,13-04-2017,Standard Class
359,28-04-2017,Standard Class
360,11-03-2018,First Class
362,01-10-2018,Standard Class
366,29-09-2015,Standard Class
367,21-10-2017,Same Day
371,04-06-2018,Standard Class
373,27-07-2015,Standard Class
377,01-10-2017,First Class
378,01-09-2018,Standard Class
379,05-05-2016,Standard Class
382,29-10-2017,First Class
384,29-06-2016,Second Class
385,02-12-2016,Standard Class
387,07-12-2016,Standard Class
389,26-11-2015,First Class
390,15-12-2018,Standard Class
392,23-09-2015,Second Class
394,10-06-2015,Second Class
395,05-07-2018,Standard Class
396,19-10-2018,Second Class
398,04-11-2016,Standard Class
399,10-09-2017,Second Class
403,26-12-2015,First Class
404,20-04-2015,Standard Class
405,29-12-2018,Standard Class
406,12-12-2018,Standard Class
415,07-11-2018,Standard Class
417,28-06-2018,Standard Class
418,18-04-2017,Standard Class
419,10-11-2018,Standard Class
420,09-03-2018,Standard Class
422,25-06-2015,First Class
423,23-10-2018,Standard Class
425,23-08-2018,Second Class
426,26-11-2018,Second Class
428,13-09-2015,First Class
429,08-10-2018,Standard Class
430,21-04-2017,Standard Class
434,07-06-2017,First Class
435,25-12-2015,Standard Class
437,14-06-2017,Second Class
439,19-09-2018,Standard Class
440,23-01-2018,Second Class
441,07-09-2017,Second Class
447,25-03-2018,Second Class
448,03-04-2017,Second Class
454,24-10-2018,Standard Class
456,17-12-2017,Standard Class
457,18-02-2015,Standard Class
458,01-10-2017,Standard Class
460,22-12-2016,Standard Class
463,29-04-2017,Standard Class
468,24-01-2016,Standard Class
469,04-04-2018,Standard Class
470,20-12-2017,Second Class
471,24-12-2016,Standard Class
472,11-11-2015,Second Class
478,19-07-2017,Standard Class
479,02-11-2017,Standard Class
480,02-07-2017,Standard Class
482,10-10-2015,Standard Class
483,27-07-2015,Standard Class
485,13-06-2018,First Class
488,31-10-2015,First Class
489,13-06-2015,Second Class
492,19-09-2015,Standard Class
494,14-05-2017,Standard Class
495,21-03-2017,Second Class
496,31-12-2016,Standard Class
497,31-07-2017,Standard Class
501,04-06-2017,Standard Class
506,15-11-2018,Second Class
507,22-03-2016,Standard Class
511,27-11-2018,First Class
513,23-10-2017,First Class
514,25-12-2018,Standard Class
516,27-01-2018,Standard Class
520,26-03-2016,Standard Class
523,25-01-2018,First Class
524,23-05-2017,First Class
526,02-01-2017,Standard Class
527,26-10-2018,Standard Class
529,07-09-2016,Standard Class
532,09-11-2016,Second Class
533,11-09-2018,Standard Class
534,01-06-2017,Second Class
536,16-07-2017,Standard Class
537,08-09-2018,Second Class
538,08-12-2016,Standard Class
539,11-12-2016,Standard Class
541,03-02-2015,First Class
542,17-07-2017,First Class
543,23-12-2016,Standard Class
544,16-05-2015,Standard Class
547,22-11-2018,First Class
549,17-11-2016,Second Class
552,17-04-2017,Second Class
553,12-09-2018,First Class
554,28-11-2018,Standard Class
555,03-07-2018,Second Class
556,07-03-2015,Second Class
557,15-06-2017,Standard Class
560,22-11-2018,Second Class
562,18-09-2015,Second Class
564,09-12-2016,First Class
566,10-12-2018,First Class
567,08-10-2018,Standard Class
571,04-01-2019,Standard Class
575,07-11-2017,Standard Class
576,22-09-2016,Second Class
579,26-07-2018,Standard Class
581,14-09-2016,Standard Class
582,05-12-2018,Standard Class
587,09-07-2016,Standard Class
589,24-03-2017,Standard Class
593,13-01-2015,Standard Class
595,15-08-2015,Standard Class
599,16-07-2017,First Class
600,21-07-2017,Standard Class
603,19-03-2015,Standard Class
608,27-05-2015,Standard Class
611,01-05-2017,First Class
613,13-09-2017,Second Class
615,17-11-2018,Second Class
617,23-08-2018,Second Class
622,31-12-2015,Standard Class
623,03-12-2016,Standard Class
627,19-09-2018,Standard Class
628,23-05-2018,Standard Class
629,21-12-2018,Standard Class
631,13-12-2017,Second Class
634,26-09-2018,Second Class
636,09-10-2016,Second Class
637,21-08-2017,Standard Class
639,25-05-2017,Standard Class
641,22-12-2017,Standard Class
642,03-08-2018,Second Class
644,15-06-2018,Standard Class
