Category_Row_ID,Category,Sub_Category
1,Furniture,Bookcases
3,Office Supplies,Labels
4,Furniture,Tables
6,Furniture,Furnishings
13,Office Supplies,Paper
14,Office Supplies,Binders
15,Office Supplies,Appliances
17,Office Supplies,Storage
18,Office Supplies,Storage
19,Office Supplies,Art
22,Office Supplies,Art
24,Furniture,Chairs
25,Furniture,Tables
26,Office Supplies,Binders
28,Furniture,Bookcases
35,Office Supplies,Paper
36,Technology,Phones
38,Office Supplies,Envelopes
42,Technology,Phones
43,Office Supplies,Storage
44,Office Supplies,Storage
45,Technology,Accessories
47,Office Supplies,Storage
48,Technology,Accessories
50,Office Supplies,Binders
54,Office Supplies,Fasteners
56,Office Supplies,Storage
63,Technology,Accessories
67,Furniture,Chairs
68,Office Supplies,Art
70,Office Supplies,Paper
71,Office Supplies,Binders
72,Office Supplies,Paper
73,Furniture,Chairs
76,Office Supplies,Binders
79,Furniture,Furnishings
80,Office Supplies,Appliances
82,Office Supplies,Art
84,Office Supplies,Envelopes
85,Office Supplies,Storage
86,Furniture,Chairs
87,Technology,Accessories
89,Office Supplies,Storage
90,Office Supplies,Art
93,Office Supplies,Paper
96,Office Supplies,Binders
97,Furniture,Furnishings
98,Office Supplies,Binders
99,Office Supplies,Appliances
100,Office Supplies,Paper
103,Office Supplies,Paper
104,Technology,Accessories
107,Technology,Accessories
110,Technology,Accessories
111,Furniture,Furnishings
112,Office Supplies,Art
114,Office Supplies,Fasteners
118,Furniture,Tables
119,Office Supplies,Binders
120,Furniture,Furnishings
125,Furniture,Chairs
126,Furniture,Tables
127,Office Supplies,Binders
129,Furniture,Chairs
131,Technology,Phones
134,Office Supplies,Paper
141,Furniture,Furnishings
142,Office Supplies,Art
145,Office Supplies,Appliances
146,Office Supplies,Storage
147,Furniture,Furnishings
148,Technology,Phones
152,Office Supplies,Appliances
154,Office Supplies,Paper
157,Office Supplies,Art
158,Furniture,Chairs
159,Office Supplies,Labels
161,Office Supplies,Paper
162,Technology,Accessories
163,Office Supplies,Envelopes
164,Office Supplies,Binders
165,Office Supplies,Art
172,Office Supplies,Paper
175,Office Supplies,Appliances
177,Office Supplies,Appliances
178,Furniture,Chairs
180,Office Supplies,Art
181,Office Supplies,Storage
183,Technology,Phones
186,Office Supplies,Binders
187,Technology,Accessories
188,Office Supplies,Storage
190,Furniture,Bookcases
195,Office Supplies,Envelopes
196,Office Supplies,Art
198,Office Supplies,Storage
199,Office Supplies,Binders
201,Office Supplies,Paper
202,Furniture,Tables
204,Office Supplies,Appliances
205,Furniture,Furnishings
206,Technology,Phones
207,Office Supplies,Storage
212,Technology,Accessories
213,Office Supplies,Labels
218,Office Supplies,Storage
220,Office Supplies,Fasteners
226,Office Supplies,Art
229,Furniture,Chairs
231,Office Supplies,Binders
232,Furniture,Tables
237,Office Supplies,Paper
238,Office Supplies,Paper
245,Furniture,Chairs
250,Furniture,Chairs
251,Office Supplies,Paper
253,Office Supplies,Storage
255,Furniture,Furnishings
259,Technology,Accessories
262,Office Supplies,Appliances
263,Technology,Machines
265,Technology,Phones
266,Technology,Accessories
267,Office Supplies,Art
268,Office Supplies,Fasteners
269,Office Supplies,Storage
271,Office Supplies,Storage
272,Technology,Accessories
275,Office Supplies,Paper
277,Office Supplies,Paper
281,Office Supplies,Binders
283,Furniture,Tables
284,Office Supplies,Paper
287,Office Supplies,Binders
290,Office Supplies,Fasteners
294,Furniture,Furnishings
299,Office Supplies,Paper
304,Furniture,Tables
305,Furniture,Furnishings
306,Office Supplies,Art
307,Office Supplies,Binders
309,Office Supplies,Art
310,Furniture,Furnishings
314,Furniture,Furnishings
315,Technology,Phones
317,Office Supplies,Art
318,Furniture,Chairs
323,Office Supplies,Fasteners
324,Office Supplies,Binders
326,Furniture,Furnishings
327,Technology,Phones
332,Technology,Phones
335,Office Supplies,Binders
338,Office Supplies,Binders
340,Office Supplies,Fasteners
341,Office Supplies,Art
345,Office Supplies,Storage
346,Technology,Phones
347,Office Supplies,Art
350,Technology,Accessories
355,Furniture,Bookcases
359,Office Supplies,Paper
360,Office Supplies,Appliances
362,Office Supplies,Labels
366,Office Supplies,Storage
367,Office Supplies,Binders
371,Office Supplies,Paper
373,Office Supplies,Binders
377,Office Supplies,Paper
378,Furniture,Tables
379,Office Supplies,Appliances
382,Office Supplies,Paper
384,Technology,Accessories
385,Furniture,Tables
387,Technology,Machines
389,Office Supplies,Art
390,Office Supplies,Binders
392,Technology,Phones
394,Office Supplies,Binders
395,Office Supplies,Binders
396,Office Supplies,Storage
398,Office Supplies,Supplies
399,Office Supplies,Storage
403,Office Supplies,Paper
404,Office Supplies,Art
405,Office Supplies,Appliances
406,Technology,Accessories
415,Office Supplies,Paper
417,Office Supplies,Art
418,Furniture,Chairs
419,Office Supplies,Paper
420,Office Supplies,Art
422,Technology,Accessories
423,Furniture,Furnishings
425,Furniture,Chairs
426,Furniture,Furnishings
428,Technology,Machines
429,Office Supplies,Art
430,Office Supplies,Binders
