Order_Row_ID,Order_ID,Order_Date,Sales
1,CA-2017-152156,08-11-2017,261.96
3,CA-2017-138688,12-06-2017,14.62
4,US-2016-108966,11-10-2016,957.5775
6,CA-2015-115812,09-06-2015,48.86
13,CA-2018-114412,15-04-2018,15.552
14,CA-2017-161389,05-12-2017,407.976
15,US-2016-118983,22-11-2016,68.81
17,CA-2015-105893,11-11-2015,665.88
18,CA-2015-167164,13-05-2015,55.5
19,CA-2015-143336,27-08-2015,8.56
22,CA-2017-137330,09-12-2017,19.46
24,US-2018-156909,16-07-2018,71.372
25,CA-2016-106320,25-09-2016,1044.63
26,CA-2017-121755,16-01-2017,11.648
28,US-2016-150630,17-09-2016,3083.43
35,CA-2018-107727,19-10-2018,29.472
36,CA-2017-117590,08-12-2017,1097.544
38,CA-2016-117415,27-12-2016,113.328
42,CA-2018-120999,10-09-2018,147.168
43,CA-2017-101343,17-07-2017,77.88
44,CA-2018-139619,19-09-2018,95.616
45,CA-2017-118255,11-03-2017,45.98
47,CA-2015-146703,20-10-2015,211.96
48,CA-2017-169194,20-06-2017,45
50,CA-2016-115742,18-04-2016,38.22
54,CA-2017-105816,11-12-2017,15.26
56,CA-2017-111682,17-06-2017,208.56
63,CA-2016-135545,24-11-2016,13.98
67,US-2016-164175,30-04-2016,213.115
68,CA-2015-106376,05-12-2015,1113.024
70,CA-2017-119823,04-06-2017,75.88
71,CA-2017-106075,18-09-2017,4.616
72,CA-2018-114440,14-09-2018,19.05
73,US-2016-134026,26-04-2016,831.936
76,US-2018-118038,09-12-2018,1.248
79,US-2015-147606,26-11-2015,19.3
80,CA-2017-127208,12-06-2017,208.16
82,CA-2015-139451,12-10-2015,14.9
84,CA-2016-149734,03-09-2016,200.984
85,US-2018-119662,13-11-2018,230.376
86,CA-2018-140088,28-05-2018,301.96
87,CA-2018-155558,26-10-2018,19.99
89,CA-2017-159695,05-04-2017,158.368
90,CA-2017-109806,17-09-2017,20.1
93,CA-2016-149587,31-01-2016,12.96
96,US-2018-109484,06-11-2018,5.682
97,CA-2018-161018,09-11-2018,96.53
98,CA-2018-157833,17-06-2018,51.312
99,CA-2017-149223,06-09-2017,77.88
100,CA-2017-158568,29-08-2017,64.624
103,CA-2017-129903,01-12-2017,23.92
104,US-2016-156867,13-11-2016,238.896
107,CA-2018-119004,23-11-2018,74.112
110,CA-2016-129476,15-10-2016,339.96
111,CA-2018-146780,25-12-2018,41.96
112,CA-2017-128867,03-11-2017,75.96
114,CA-2015-115259,25-08-2015,40.096
118,CA-2016-110457,02-03-2016,787.53
119,US-2016-136476,05-04-2016,157.794
120,CA-2017-103730,12-06-2017,47.04
125,US-2015-152030,26-12-2015,600.558
126,US-2015-134614,20-09-2015,617.7
127,US-2018-107272,05-11-2018,2.388
129,US-2017-125969,06-11-2017,81.424
131,US-2018-164147,02-02-2018,59.97
134,CA-2017-145583,13-10-2017,20.04
141,CA-2017-110366,05-09-2017,82.8
142,CA-2018-106180,18-09-2018,8.82
145,CA-2018-155376,22-12-2018,839.43
146,CA-2016-110744,07-09-2016,671.93
147,CA-2015-110072,22-10-2015,93.888
148,CA-2017-114489,05-12-2017,384.45
152,CA-2017-158834,13-03-2017,157.92
154,CA-2016-124919,31-05-2016,58.38
157,CA-2016-118948,28-05-2016,6.63
158,CA-2015-104269,01-03-2015,457.568
159,CA-2017-114104,20-11-2017,14.62
161,CA-2017-162733,11-05-2017,5.98
162,CA-2016-119697,28-12-2016,54.384
163,CA-2017-154508,16-11-2017,28.4
164,CA-2017-113817,07-11-2017,27.68
165,CA-2015-139892,08-09-2015,9.936
172,CA-2015-118962,05-08-2015,20.94
175,US-2015-100853,14-09-2015,52.448
177,US-2018-152366,21-04-2018,97.264
178,US-2016-101511,21-11-2016,396.802
180,CA-2016-137225,15-12-2016,3.28
181,CA-2015-166191,05-12-2015,24.816
183,CA-2015-158274,19-11-2015,503.96
186,CA-2017-105018,28-11-2017,7.16
187,CA-2015-123260,26-08-2015,176.8
188,CA-2017-157000,16-07-2017,37.224
190,CA-2016-102281,12-10-2016,899.136
195,CA-2016-131457,31-10-2016,14.28
196,CA-2015-140004,21-03-2015,7.408
198,CA-2018-107720,06-11-2018,46.26
199,US-2018-124303,06-07-2018,2.946
201,CA-2018-105074,24-06-2018,21.744
202,CA-2015-133690,03-08-2015,218.75
204,US-2018-116701,17-12-2018,66.284
205,CA-2018-126382,03-06-2018,35.168
206,CA-2018-108329,09-12-2018,444.768
207,CA-2018-135860,01-12-2018,83.92
212,CA-2016-101007,09-02-2016,20.8
213,CA-2016-146262,02-01-2016,23.68
218,CA-2017-130162,28-10-2017,93.06
220,CA-2016-169397,24-12-2016,5.584
226,CA-2016-163055,09-08-2016,2.2
229,US-2016-145436,28-02-2016,161.568
231,US-2015-156216,13-09-2015,18.648
232,US-2018-100930,07-04-2018,233.86
237,CA-2018-160514,12-11-2018,10.56
238,CA-2017-157749,04-06-2017,25.92
245,CA-2015-131926,01-06-2015,2001.86
250,CA-2017-154739,10-12-2017,321.568
251,CA-2017-145625,11-09-2017,7.61
253,CA-2017-146941,10-12-2017,80.58
255,US-2016-159982,28-11-2016,12.132
259,CA-2018-163139,01-12-2018,20.37
262,US-2018-155299,08-06-2018,1.624
263,US-2015-106992,19-09-2015,3059.982
265,CA-2017-125318,06-06-2017,328.224
266,CA-2016-155040,10-11-2016,79.9
267,CA-2018-136826,16-06-2018,14.016
268,CA-2017-111010,22-01-2017,7.56
269,US-2018-145366,09-12-2018,37.208
271,CA-2018-163979,28-12-2018,725.84
272,CA-2016-155334,30-07-2016,209.93
275,CA-2018-118136,16-09-2018,8.82
277,CA-2018-132976,13-10-2018,11.648
281,US-2016-161991,26-09-2016,2.08
283,CA-2016-130890,02-11-2016,1038.84
