Product_Row_ID,Category_Row_ID,Location_Row_ID,Customer_Row_ID,Calender_Row_ID,Shipping_Row_ID,Date,Country,Segment,Sales,Category
1,1,1,1,1,1,08-11-2017,United States,Consumer,261.96,Furniture
3,3,3,3,3,3,12-06-2017,United States,Corporate,14.62,Office Supplies
4,4,4,4,4,4,11-10-2016,United States,Consumer,957.5775,Furniture
6,6,6,6,6,6,09-06-2015,United States,Consumer,48.86,Furniture
13,13,13,13,13,13,15-04-2018,United States,Consumer,15.552,Office Supplies
14,14,14,14,14,14,05-12-2017,United States,Consumer,407.976,Office Supplies
15,15,15,15,15,15,22-11-2016,United States,Home Office,68.81,Office Supplies
17,17,17,17,17,17,11-11-2015,United States,Consumer,665.88,Office Supplies
18,18,18,18,18,18,13-05-2015,United States,Consumer,55.5,Office Supplies
19,19,19,19,19,19,27-08-2015,United States,Consumer,8.56,Office Supplies
22,22,22,22,22,22,09-12-2017,United States,Corporate,19.46,Office Supplies
24,24,24,24,24,24,16-07-2018,United States,Consumer,71.372,Furniture
25,25,25,25,25,25,25-09-2016,United States,Consumer,1044.63,Furniture
26,26,26,26,26,26,16-01-2017,United States,Consumer,11.648,Office Supplies
28,28,28,28,28,28,17-09-2016,United States,Consumer,3083.43,Furniture
35,35,35,35,35,35,19-10-2018,United States,Home Office,29.472,Office Supplies
36,36,36,36,36,36,08-12-2017,United States,Corporate,1097.544,Technology
38,38,38,38,38,38,27-12-2016,United States,Home Office,113.328,Office Supplies
42,42,42,42,42,42,10-09-2018,United States,Corporate,147.168,Technology
43,43,43,43,43,43,17-07-2017,United States,Corporate,77.88,Office Supplies
44,44,44,44,44,44,19-09-2018,United States,Corporate,95.616,Office Supplies
45,45,45,45,45,45,11-03-2017,United States,Corporate,45.98,Technology
47,47,47,47,47,47,20-10-2015,United States,Consumer,211.96,Office Supplies
48,48,48,48,48,48,20-06-2017,United States,Consumer,45,Technology
50,50,50,50,50,50,18-04-2016,United States,Consumer,38.22,Office Supplies
54,54,54,54,54,54,11-12-2017,United States,Corporate,15.26,Office Supplies
